# fetch_missing_lists.py の SEED に渡すシード一覧。
# `エリア名<TAB>所在地<TAB>検索語` のタブ区切りで、2 列目以降は省略可。
#
# - 所在地 (2 列目): 共有 URL 取得後に Firestore の loc に入る値。
#   同名の区・市を区別するためのもので、必ず都道府県から始める住所表記にすること
#   (既に記録済みの loc と表記が食い違うと、別のドキュメント ID になって
#   同じエリアが二重に入ってしまう)。
#   **省略しないこと。** 省略すると locations.py の対応表からしか引けず、
#   表に無いエリアは端末を触る前に「所在地未定義」で除外されて永久に走査されない。
# - 検索語 (3 列目): geo: に渡す検索語。省くと「所在地 + エリア名」で検索する。
#   自動連結が実在の住所にならないエリア (ランドマーク名・通称) だけ明示する。
#
# 検索語は「都道府県から始まる完全な住所」ほど当たりやすい。
# 素の地名で検索すると geo: がエリアページではなく駅・ランドマークのスポットページを
# 開いてしまい、リストのカルーセルが無い = リスト無しと誤判定する。
# 実例: 「青山 東京」は空振りしたが、町名で引いた「東京都港区南青山」は 3 種類とも当たった。
# そのため 2 列目を全行埋め、3 列目の素の地名は原則削除して自動連結に任せている。
# 過去に「カルーセルが無い」で空振りしたエリア (梅田・心斎橋・天神・すすきの・
# みなとみらい 等) は、この誤判定だった可能性があるので再走査の価値がある。
#
# エリア名 (1 列目) は Google のリスト名と完全に一致させること。
# カードの content-desc が「<エリア名>: トップリスト...」の形なので、
# ここがずれると「カードが見つからない」で失敗する。
# 住所で検索したいだけなら 1 列目ではなく 3 列目を住所にする
# (例: エリア名「渋谷」+ 検索語「東京都渋谷区渋谷」。
#  エリア名を「渋谷区渋谷」にするとカード名と合わず失敗する)。
#
# 既に share-urls.tsv に 3 種類とも揃っているエリアは fetch_missing_lists.py が
# 自動でスキップするので、取得済みのものも行を消さずそのまま残している
# (何が試された検索語か、という記録を兼ねる)。

# ============================================================
# 単独エリア (欠落調査: 東京 23 区・県庁所在地・人口 20 万人以上の市)
# ============================================================

# --- 東京 23 区の欠落 (台東区・大田区とも Google 側にリスト無しと確認済み) ---
台東区	東京都
大田区	東京都

# --- 都道府県庁所在地の欠落 ---
青森市	青森県
福島市	福島県
山口市	山口県

# --- 人口 20 万人以上の市 (すべてリスト無しと確認済み) ---
旭川市	北海道
八戸市	青森県
いわき市	福島県
郡山市	福島県
太田市	群馬県
伊勢崎市	群馬県
越谷市	埼玉県
草加市	埼玉県
春日部市	埼玉県
上尾市	埼玉県
市川市	千葉県
市原市	千葉県
流山市	千葉県
府中市	東京都
西東京市	東京都
横須賀市	神奈川県
茅ヶ崎市	神奈川県
大和市	神奈川県
厚木市	神奈川県
富士市	静岡県
春日井市	愛知県
枚方市	大阪府
茨木市	大阪府
八尾市	大阪府
寝屋川市	大阪府
加古川市	兵庫県
宝塚市	兵庫県
伊丹市	兵庫県
呉市	広島県
佐世保市	長崎県

# ============================================================
# 政令指定都市の区 (同名が既に TSV にある 中/北/南/東/西/中央/港 区は除く)
# ============================================================

# --- 札幌市 (全滅) ---
白石区	北海道札幌市
豊平区	北海道札幌市
厚別区	北海道札幌市
手稲区	北海道札幌市
清田区	北海道札幌市

# --- 仙台市 (全滅) ---
青葉区	宮城県仙台市
宮城野区	宮城県仙台市
若林区	宮城県仙台市
太白区	宮城県仙台市

# --- さいたま市 (大宮区・浦和区は取得済み) ---
見沼区	埼玉県さいたま市
桜区	埼玉県さいたま市
岩槻区	埼玉県さいたま市

# --- 千葉市 (稲毛区は取得済み) ---
花見川区	千葉県千葉市
稲毛区	千葉県千葉市
若葉区	千葉県千葉市
美浜区	千葉県千葉市

# --- 川崎市 (川崎区は取得済み) ---
幸区	神奈川県川崎市
中原区	神奈川県川崎市
高津区	神奈川県川崎市
宮前区	神奈川県川崎市
多摩区	神奈川県川崎市
麻生区	神奈川県川崎市

# --- 横浜市 (鶴見区は取得済み。他は全滅) ---
神奈川区	神奈川県横浜市
鶴見区	神奈川県横浜市
港南区	神奈川県横浜市
保土ケ谷区	神奈川県横浜市
旭区	神奈川県横浜市
磯子区	神奈川県横浜市
金沢区	神奈川県横浜市
港北区	神奈川県横浜市
都筑区	神奈川県横浜市
戸塚区	神奈川県横浜市
栄区	神奈川県横浜市
泉区	神奈川県横浜市
瀬谷区	神奈川県横浜市

# --- 新潟市 (全滅) ---
秋葉区	新潟県新潟市
江南区	新潟県新潟市
西蒲区	新潟県新潟市

# --- 静岡市 (清水区は取得済み) ---
葵区	静岡県静岡市
駿河区	静岡県静岡市
清水区	静岡県静岡市

# --- 浜松市 (全滅) ---
浜名区	静岡県浜松市
天竜区	静岡県浜松市

# --- 名古屋市 (千種区・昭和区・中区・東区・天白区は取得済み) ---
中村区	愛知県名古屋市
瑞穂区	愛知県名古屋市
熱田区	愛知県名古屋市
中川区	愛知県名古屋市
守山区	愛知県名古屋市
緑区	愛知県名古屋市
名東区	愛知県名古屋市

# --- 京都市 (東山区・北区・南区・上京区・下京区・中京区・右京区・
#     左京区・山科区・伏見区は取得済み。区は全て取得済みか、
#     下の「全国に同名がある区」ブロックで再走査済みなので対象なし) ---

# --- 大阪市 (福島区・此花区・天王寺区・浪速区・淀川区・北区・中央区・
#     西区・住吉区・生野区・西成区・阿倍野区は取得済み) ---
都島区	大阪府大阪市
東淀川区	大阪府大阪市
東成区	大阪府大阪市
城東区	大阪府大阪市
住之江区	大阪府大阪市
東住吉区	大阪府大阪市
平野区	大阪府大阪市

# --- 堺市 (全滅) ---
堺区	大阪府堺市
美原区	大阪府堺市

# --- 神戸市 (東灘区・灘区は取得済み) ---
兵庫区	兵庫県神戸市
長田区	兵庫県神戸市
須磨区	兵庫県神戸市
垂水区	兵庫県神戸市

# --- 広島市 (全滅) ---
安佐南区	広島県広島市
安佐北区	広島県広島市
安芸区	広島県広島市
佐伯区	広島県広島市

# --- 北九州市 (門司区は取得済み) ---
若松区	福岡県北九州市
戸畑区	福岡県北九州市
小倉北区	福岡県北九州市
小倉南区	福岡県北九州市
八幡東区	福岡県北九州市
八幡西区	福岡県北九州市

# --- 福岡市 (博多区は取得済み) ---
城南区	福岡県福岡市
早良区	福岡県福岡市

# ============================================================
# 全国に同名がある区 (所在地違いで再走査)
# ============================================================

# --- 中区 (愛知県名古屋市は取得済み) ---
中区	神奈川県横浜市
中区	大阪府堺市
中区	岡山県岡山市
中区	広島県広島市

# --- 中央区 (東京都・大阪府大阪市は取得済み) ---
中央区	北海道札幌市
中央区	埼玉県さいたま市
中央区	千葉県千葉市
中央区	神奈川県相模原市
中央区	新潟県新潟市
中央区	静岡県浜松市
中央区	兵庫県神戸市
中央区	福岡県福岡市
中央区	熊本県熊本市

# --- 北区 (東京都・京都府京都市・大阪府大阪市は取得済み) ---
北区	北海道札幌市
北区	埼玉県さいたま市
北区	新潟県新潟市
北区	愛知県名古屋市
北区	大阪府堺市
北区	兵庫県神戸市
北区	岡山県岡山市
北区	熊本県熊本市

# --- 南区 (京都府京都市は取得済み。大阪市に南区は無い) ---
南区	北海道札幌市
南区	埼玉県さいたま市
南区	神奈川県横浜市
南区	神奈川県相模原市
南区	新潟県新潟市
南区	愛知県名古屋市
南区	大阪府堺市
南区	広島県広島市
南区	岡山県岡山市
南区	福岡県福岡市
南区	熊本県熊本市

# --- 東区 (愛知県名古屋市は取得済み) ---
東区	北海道札幌市
東区	新潟県新潟市
東区	大阪府堺市
東区	広島県広島市
東区	岡山県岡山市
東区	福岡県福岡市
東区	熊本県熊本市

# --- 西区 (大阪府大阪市は取得済み) ---
西区	北海道札幌市
西区	埼玉県さいたま市
西区	神奈川県横浜市
西区	新潟県新潟市
西区	愛知県名古屋市
西区	大阪府堺市
西区	兵庫県神戸市
西区	広島県広島市
西区	福岡県福岡市
西区	熊本県熊本市

# --- 港区 (東京都は取得済み) ---
